Symptom1, Symptom2, Symptom3, Symptom4, Symptom5, Condition
Headaches, Runny or stuffy nose, Fever, Dizziness, Sore throat, Flu
Excessive thirst, Unexplained weight loss, Fatigue,Excessive hunger, Blurred vision, Diabetes
Headaches, Dizziness, Nausea,Blurred vision, Nosebleeds, Hypertension
Joint pain, Fatigue,Joint stiffness,Joint redness, Restricted movement, Arthritis
Dizziness,Nausea, Blurred vision,Light sensitivity, Pain in the head, Migraine
Shortness of breath, Wheezing,Coughing,Chest pain,Chest tightness, Asthma
Itchy or red eyes, Runny or stuffy nose,Itchy throat, Shortness of breath, Wheezing, Allergies
Nausea,Fatigue, Sore throat, Runny or stuffy nose,Fever, COVID-19
Coughing blood,Unexplained weight loss, Chest pain,Fever, Nausea, Tuberculosis
Nausea,Fever,Fatigue, Joint pain,Loss of appetite, Hepatitis B
Cough, Fever,Chest pain,Shortness of breath,Loss of appetite, Pneumonia
Fever,Joint redness,Joint pain, Restricted movement, Joint stiffness, Gout
Abdominal pain,Constipation,Diarrhea, Bloating,Fatigue, Irritable Bowel Syndrome
Runny or stuffy nose,Shortness of breath, Fever, Cough, Wheezing, Bronchitis
Runny or stuffy nose,Sore throat,Fever, Headaches,Fatigue, Sinusitis
Red or swollen tonsils, Cough, Fever,Difficulty swallowing, Headaches, Tonsillitis
Chest pain,Fever, Fatigue, Unexplained weight loss,Swollen lymph nodes, Lymphoma
Fever, Nausea,Abdominal pain, Unexplained weight loss, Dizziness, Pancreatitis
Joint stiffness, Fatigue, Joint pain, Sound sensitivity, Bloating, Fibromyalgia
Fatigue,Loss of appetite,Headaches, Dizziness,Shortness of breath, Anemia
Diarrhea,Unexplained weight loss,Increased appetite,Unexplained weight gain,Fatigue, Hyperthyroidism
Fever,Red eyes,Runny nose, Cough, Rash, Measles
Headaches,Fever,Pain in salivary glands, Fatigue,Loss of appetite, Mumps
Fever, Fatigue,Rash,Loss of appetite,Headaches, Chickenpox
Rash,Fever, Fatigue, Light sensitivity, Headaches, Shingles
Coughing blood, Fatigue,Runny or stuffy nose,Fever, Dizziness, Whooping Cough
Frequent urination, Nausea,Missed period, Tender breasts,Headaches,Pregnancy
Frequent urination, Nausea, Unexplained weight gain, Tender breasts,Abdominal pain, Ovarian Cysts
Slurred speech,Paralysis in the body, Blurred vision, Headaches,Abdominal pain, Stroke
Chest pain,Shortest of breath, Fatigue, Nausea,Irregular heartbeat, Heart Attack
Joint pain,Chest pain,Rash,Light sensitivity, Mouth ulcers,Lupus
Rash, Swollen lymph nodes, Joint pain,Joint stiffness, Fever, Lyme Disease
Diarrhea,Nausea, Fever,Abdominal pain, Headaches, Food Poisoning
Painful urination, Frequent urination,Fever, Nausea, Blood in urine, Kidney Infection
Joint pain,Constipation,Dry skin, Fatigue, Unexplained weight gain, Hypothyroidism
 Loss of appetite,Abdominal pain, Dark urine, Fatigue,Joint pain, Hepatitis C
Red eyes, Sensitivity to light, Blurred vision, Eye redness, Dry eyes, Dry Eye Syndrome
Abdominal pain, Nausea,Loss of appetite, Fever, Bloating, Appendicitis
Fever, Nausea, Stiff neck, Sensitivity to light, Headaches, Meningitis
Nausea, Abdominal pain, Diarrhea, Bloating, Unexplained weight loss, Celiac Disease
